cab_type,distance,fare
UberGo,1.864113577,124.13
Moto,1.864113577,35.04
UberAuto,1.864113577,48.5
Premier,1.864113577,150.49
UberGo,1.864113577,131.14
Moto,1.864113577,33.51
UberAuto,3.666090034,78.24
Premier,3.666090034,190.28
UberGo,3.666090034,160.47
Moto,3.666090034,47.26
UberAuto,2.299073411,47.6
Premier,2.299073411,150.19
UberGo,2.299073411,131.64
Moto,2.299073411,33.08
UberAuto,3.852501392,80.49
Premier,3.852501392,193.71
UberGo,3.852501392,163.31
Moto,3.852501392,48.29
UberAuto,1.553427981,30.47
Premier,1.553427981,124.53
UberGo,1.553427981,110.63
Moto,1.553427981,25.18
UberAuto,3.728227153,79.81
Premier,3.728227153,199.06
UberGo,3.728227153,172.02
Moto,3.728227153,47.98
UberAuto,4.163186988,89.95
Premier,4.163186988,211.91
UberGo,4.163186988,180.93
Moto,4.163186988,52.66
UberAuto,3.479678677,75.08
Premier,3.479678677,189.51
UberGo,3.479678677,162.55
Moto,3.479678677,45.79
UberAuto,1.491290861,26.42
Premier,1.491290861,117.49
UberGo,1.491290861,104.23
Moto,1.491290861,23.31
UberAuto,1.988387815,35.65
Premier,1.988387815,133.72
UberGo,1.988387815,119.12
Moto,1.988387815,27.57
UberGo,4.03891275,216.76
Premier,4.03891275,335.88
UberAuto,4.03891275,86.79
UberGo,15.47214269,426.51
Premier,15.47214269,515.51
UberAuto,15.47214269,309
UberXL,15.47214269,785.26
UberGo,1.739839338,220
Premier,1.739839338,284.73
UberAuto,1.739839338,59.68
UberXL,1.739839338,365.14
UberGo,1.304879504,124.78
Premier,1.304879504,208.05
UberAuto,1.304879504,34.22
UberXL,1.304879504,220.4
UberGo,12.80024656,402.07
Premier,12.80024656,475.42
UberAuto,12.80024656,292.39
UberXL,12.80024656,689
UberGo,11.61964129,382.96
Premier,11.61964129,467.52
UberAuto,11.61964129,253.27
UberXL,11.61964129,706.33
UberGo,2.174799173,164.67
Premier,2.174799173,212
UberAuto,2.174799173,54.2
UberXL,2.174799173,307.94
UberGo,1.6155651,128.14
Premier,1.6155651,170.19
UberAuto,1.6155651,39.87
UberXL,1.6155651,247.7
UberGo,3.044718842,218.96
Premier,3.044718842,261
UberAuto,3.044718842,66.74
UberXL,3.044718842,332.91
UberGo,5.405929372,222.82
Premier,5.405929372,326.41
UberAuto,5.405929372,120.82
UberXL,5.405929372,393.28
UberGo,14.10512606,426.04
Premier,14.10512606,542.48
UberXL,14.10512606,710.59
UberGo,3.728227153,222.94
Premier,3.728227153,249.11
UberAuto,3.728227153,81.24
UberXL,3.728227153,289.7
UberGo,9.009882287,271.34
Premier,9.009882287,305.16
UberAuto,9.009882287,209.3
UberXL,9.009882287,449.81
UberGo,5.778752088,260.88
Premier,5.778752088,284.2
UberAuto,5.778752088,142.97
UberXL,5.778752088,385.9
UberGo,9.320567884,375.01
Premier,9.320567884,416.26
UberAuto,9.320567884,202.71
UberXL,9.320567884,534.71
UberGo,2.609759007,194.98
Premier,2.609759007,267.49
UberAuto,2.609759007,58.72
UberXL,2.609759007,240.94
UberGo,3.16899308,247.31
Premier,3.16899308,347.19
UberAuto,3.16899308,79
UberXL,3.16899308,331.57
UberGo,17.7712161,527.3
Premier,17.7712161,607.46
UberAuto,17.7712161,384.5
UberXL,17.7712161,881.79
UberGo,8.326373976,362.91
Premier,8.326373976,455.66
UberAuto,8.326373976,186.13
UberXL,8.326373976,539.24
UberGo,7.891414141,307.27
Premier,7.891414141,383.73
UberAuto,7.891414141,176.36
UberXL,7.891414141,486.33
UberGo,14.66436014,499.59
Premier,14.66436014,629.59
UberAuto,14.66436014,319.86
UberXL,14.66436014,830.88
UberGo,6.835083115,317.76
Premier,6.835083115,437.08
UberAuto,6.835083115,147.22
UberXL,6.835083115,472.18
UberGo,5.59234073,228.96
Premier,5.59234073,353.05
UberAuto,5.59234073,127.74
UberXL,5.59234073,378.69
UberGo,8.574922453,283.32
Premier,8.574922453,393.89
UberAuto,8.574922453,191.02
UberXL,8.574922453,436.2
UberGo,8.885608049,269.56
Premier,8.885608049,336.56
UberAuto,8.885608049,196.55
UberXL,8.885608049,442.7
Moto,6.83,80
UberAuto,6.83,130
UberGo,6.83,240
Premier,6.83,283
Moto,6.21,77
UberAuto,6.21,125
UberGo,6.21,214
Premier,6.21,260
Moto,3.1,37
UberAuto,3.1,78
UberGo,3.1,140
Premier,3.1,191
Moto,2.85831,40
UberAuto,2.85831,81
UberGo,2.85831,146
Premier,2.85831,200
Moto,5.28166,30
UberAuto,5.28166,72
UberGo,5.28166,134
Premier,5.28166,174
Moto,8.07783,90
UberAuto,8.07783,150
UberGo,8.07783,220
Premier,8.07783,290
